storageLink,label,time_offset,confidence,type,label_entity_id,type_id,WordNet Type Type,WordNet Type,label_lemma,label_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,type_v1,type_v2,type_v3,type_v4,type_v5
j_70OVLHHPc,nose,61.0,0.9404779076576232,none,/m/0k0pj,none,OTHER,,nose,nose,OTHER,,http://dbpedia.org/ontology/AnatomicalStructure,,none,OTHER,none,none,OTHER
j_70OVLHHPc,nose,62.0,0.9503157138824464,none,/m/0k0pj,none,OTHER,,nose,nose,OTHER,,http://dbpedia.org/ontology/AnatomicalStructure,,none,OTHER,none,none,OTHER
j_70OVLHHPc,smoking,58.0,0.4292087554931641,person,/m/02vxs3q,/m/01g317,OTHER,,smoking,smoking,OTHER,,http://dbpedia.org/ontology/Company,,person,ORGANIZATION,person,person,ORGANIZATION
j_70OVLHHPc,thumb,56.0,0.402599573135376,finger,/m/01bmhj,/m/09cx8,OTHER,,thumb,thumb,OTHER,,http://dbpedia.org/ontology/AnatomicalStructure,,finger,finger,finger,finger,OTHER
j_70OVLHHPc,emotion,56.0,0.8780376315116882,person,/m/02tjx,/m/01g317,OTHER,,emotion,emotion,OTHER,,,,person,person,person,person,OTHER
j_70OVLHHPc,emotion,57.0,0.8806564807891846,person,/m/02tjx,/m/01g317,OTHER,,emotion,emotion,OTHER,,,,person,person,person,person,OTHER
j_70OVLHHPc,emotion,58.0,0.8734061717987059,person,/m/02tjx,/m/01g317,OTHER,,emotion,emotion,OTHER,,,,person,person,person,person,OTHER
j_70OVLHHPc,emotion,59.0,0.8068511486053467,person,/m/02tjx,/m/01g317,OTHER,,emotion,emotion,OTHER,,,,person,person,person,person,OTHER
j_70OVLHHPc,emotion,61.0,0.8146644234657288,person,/m/02tjx,/m/01g317,OTHER,,emotion,emotion,OTHER,,,,person,person,person,person,OTHER
j_70OVLHHPc,emotion,62.0,0.8279094696044922,person,/m/02tjx,/m/01g317,OTHER,,emotion,emotion,OTHER,,,,person,person,person,person,OTHER
j_70OVLHHPc,text,56.0,0.7820475697517395,none,/m/07s6nbt,none,OTHER,,text,text,OTHER,,,,none,none,none,none,OTHER
j_70OVLHHPc,text,58.0,0.8489242792129517,none,/m/07s6nbt,none,OTHER,,text,text,OTHER,,,,none,none,none,none,OTHER
j_70OVLHHPc,text,59.0,0.8802681565284729,none,/m/07s6nbt,none,OTHER,,text,text,OTHER,,,,none,none,none,none,OTHER
j_70OVLHHPc,text,60.0,0.8832324147224426,none,/m/07s6nbt,none,OTHER,,text,text,OTHER,,,,none,none,none,none,OTHER
j_70OVLHHPc,text,61.0,0.877153217792511,none,/m/07s6nbt,none,OTHER,,text,text,OTHER,,,,none,none,none,none,OTHER
j_70OVLHHPc,text,62.0,0.8819200992584229,none,/m/07s6nbt,none,OTHER,,text,text,OTHER,,,,none,none,none,none,OTHER
j_70OVLHHPc,selfie,56.0,0.7880104780197144,photography,/m/0sgh53y,/m/05wkw,OTHER,,selfie,selfie,OTHER,,http://dbpedia.org/ontology/Artwork,,photography,photography,photography,photography,OTHER
j_70OVLHHPc,selfie,57.0,0.743891716003418,photography,/m/0sgh53y,/m/05wkw,OTHER,,selfie,selfie,OTHER,,http://dbpedia.org/ontology/Artwork,,photography,photography,photography,photography,OTHER
j_70OVLHHPc,selfie,58.0,0.784250795841217,photography,/m/0sgh53y,/m/05wkw,OTHER,,selfie,selfie,OTHER,,http://dbpedia.org/ontology/Artwork,,photography,photography,photography,photography,OTHER
j_70OVLHHPc,selfie,59.0,0.692807674407959,photography,/m/0sgh53y,/m/05wkw,OTHER,,selfie,selfie,OTHER,,http://dbpedia.org/ontology/Artwork,,photography,photography,photography,photography,OTHER
j_70OVLHHPc,selfie,60.0,0.7382901310920715,photography,/m/0sgh53y,/m/05wkw,OTHER,,selfie,selfie,OTHER,,http://dbpedia.org/ontology/Artwork,,photography,photography,photography,photography,OTHER
j_70OVLHHPc,selfie,61.0,0.6953168511390686,photography,/m/0sgh53y,/m/05wkw,OTHER,,selfie,selfie,OTHER,,http://dbpedia.org/ontology/Artwork,,photography,photography,photography,photography,OTHER
j_70OVLHHPc,selfie,62.0,0.7662133574485779,photography,/m/0sgh53y,/m/05wkw,OTHER,,selfie,selfie,OTHER,,http://dbpedia.org/ontology/Artwork,,photography,photography,photography,photography,OTHER
j_70OVLHHPc,hand,56.0,0.6099216341972351,none,/m/0k65p,none,OTHER,"PERSON, LOCATION, ORGANIZATION",hand,hand,OTHER,,http://dbpedia.org/ontology/AnatomicalStructure,,none,none,none,none,OTHER
