storageLink,label,time_offset,confidence,type,label_entity_id,type_id,WordNet Type Type,WordNet Type,label_lemma,label_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,type_v1,type_v2,type_v3,type_v4,type_v5
lVMN_iO62Dc,executive car,49.0,0.4635509848594666,car,/m/0crtnw,/m/0k4j,OTHER,,executive car,executive car,OTHER,,,,car,car,car,car,OTHER
lVMN_iO62Dc,luxury vehicle,61.0,0.9270604848861694,car,/m/01lcwm,/m/0k4j,OTHER,,luxury vehicle,luxury vehicle,OTHER,,,,car,car,car,car,OTHER
lVMN_iO62Dc,luxury vehicle,62.0,0.8148604035377502,car,/m/01lcwm,/m/0k4j,OTHER,,luxury vehicle,luxury vehicle,OTHER,,,,car,car,car,car,OTHER
lVMN_iO62Dc,luxury vehicle,63.0,0.7913411259651184,car,/m/01lcwm,/m/0k4j,OTHER,,luxury vehicle,luxury vehicle,OTHER,,,,car,car,car,car,OTHER
lVMN_iO62Dc,luxury vehicle,64.0,0.826549768447876,car,/m/01lcwm,/m/0k4j,OTHER,,luxury vehicle,luxury vehicle,OTHER,,,,car,car,car,car,OTHER
lVMN_iO62Dc,luxury vehicle,65.0,0.8305481672286987,car,/m/01lcwm,/m/0k4j,OTHER,,luxury vehicle,luxury vehicle,OTHER,,,,car,car,car,car,OTHER
lVMN_iO62Dc,luxury vehicle,66.0,0.8272950649261475,car,/m/01lcwm,/m/0k4j,OTHER,,luxury vehicle,luxury vehicle,OTHER,,,,car,car,car,car,OTHER
lVMN_iO62Dc,compact car,62.0,0.5254645943641663,car,/m/02swz_,/m/0k4j,OTHER,,compact car,compact car,OTHER,,http://dbpedia.org/ontology/MeanOfTransportation,,car,car,car,car,OTHER
lVMN_iO62Dc,compact car,63.0,0.5353837609291077,car,/m/02swz_,/m/0k4j,OTHER,,compact car,compact car,OTHER,,http://dbpedia.org/ontology/MeanOfTransportation,,car,car,car,car,OTHER
lVMN_iO62Dc,compact car,64.0,0.5446745157241821,car,/m/02swz_,/m/0k4j,OTHER,,compact car,compact car,OTHER,,http://dbpedia.org/ontology/MeanOfTransportation,,car,car,car,car,OTHER
lVMN_iO62Dc,compact car,65.0,0.5399291515350342,car,/m/02swz_,/m/0k4j,OTHER,,compact car,compact car,OTHER,,http://dbpedia.org/ontology/MeanOfTransportation,,car,car,car,car,OTHER
lVMN_iO62Dc,compact car,66.0,0.5274517536163329,car,/m/02swz_,/m/0k4j,OTHER,,compact car,compact car,OTHER,,http://dbpedia.org/ontology/MeanOfTransportation,,car,car,car,car,OTHER
lVMN_iO62Dc,motor vehicle,61.0,0.8133692145347595,vehicle,/m/012f08,/m/07yv9,OTHER,,motor vehicle,motor vehicle,OTHER,,http://dbpedia.org/ontology/MeanOfTransportation,,vehicle,vehicle,vehicle,vehicle,OTHER
lVMN_iO62Dc,motor vehicle,62.0,0.8605545163154602,vehicle,/m/012f08,/m/07yv9,OTHER,,motor vehicle,motor vehicle,OTHER,,http://dbpedia.org/ontology/MeanOfTransportation,,vehicle,vehicle,vehicle,vehicle,OTHER
lVMN_iO62Dc,motor vehicle,63.0,0.8689277768135071,vehicle,/m/012f08,/m/07yv9,OTHER,,motor vehicle,motor vehicle,OTHER,,http://dbpedia.org/ontology/MeanOfTransportation,,vehicle,vehicle,vehicle,vehicle,OTHER
lVMN_iO62Dc,motor vehicle,64.0,0.8862945437431335,vehicle,/m/012f08,/m/07yv9,OTHER,,motor vehicle,motor vehicle,OTHER,,http://dbpedia.org/ontology/MeanOfTransportation,,vehicle,vehicle,vehicle,vehicle,OTHER
lVMN_iO62Dc,motor vehicle,65.0,0.8476913571357727,vehicle,/m/012f08,/m/07yv9,OTHER,,motor vehicle,motor vehicle,OTHER,,http://dbpedia.org/ontology/MeanOfTransportation,,vehicle,vehicle,vehicle,vehicle,OTHER
lVMN_iO62Dc,motor vehicle,66.0,0.9135534763336182,vehicle,/m/012f08,/m/07yv9,OTHER,,motor vehicle,motor vehicle,OTHER,,http://dbpedia.org/ontology/MeanOfTransportation,,vehicle,vehicle,vehicle,vehicle,OTHER
lVMN_iO62Dc,bodyguard,64.0,0.4152570962905884,person,/m/012q9c,/m/01g317,OTHER,"PERSON, ORGANIZATION",bodyguard,bodyguard,OTHER,,http://dbpedia.org/ontology/AmericanFootballPlayer,,person,person,person,person,OTHER
lVMN_iO62Dc,car seat,61.0,0.4623601734638214,none,/m/0268t21,none,OTHER,,car seat,car seat,OTHER,,http://dbpedia.org/ontology/Settlement,,none,none,none,none,OTHER
lVMN_iO62Dc,car seat,62.0,0.4926562607288361,none,/m/0268t21,none,OTHER,,car seat,car seat,OTHER,,http://dbpedia.org/ontology/Settlement,,none,none,none,none,OTHER
lVMN_iO62Dc,car seat,63.0,0.4514486491680145,none,/m/0268t21,none,OTHER,,car seat,car seat,OTHER,,http://dbpedia.org/ontology/Settlement,,none,none,none,none,OTHER
lVMN_iO62Dc,car seat,64.0,0.4484352469444275,none,/m/0268t21,none,OTHER,,car seat,car seat,OTHER,,http://dbpedia.org/ontology/Settlement,,none,none,none,none,OTHER
lVMN_iO62Dc,sedan,61.0,0.5342255234718323,car,/m/021mp2,/m/0k4j,OTHER,,sedan,sedan,OTHER,,,,car,car,car,car,OTHER
lVMN_iO62Dc,sedan,62.0,0.4318986535072327,car,/m/021mp2,/m/0k4j,OTHER,,sedan,sedan,OTHER,,,,car,car,car,car,OTHER
lVMN_iO62Dc,sedan,63.0,0.4515972137451172,car,/m/021mp2,/m/0k4j,OTHER,,sedan,sedan,OTHER,,,,car,car,car,car,OTHER
lVMN_iO62Dc,sedan,64.0,0.4643993675708771,car,/m/021mp2,/m/0k4j,OTHER,,sedan,sedan,OTHER,,,,car,car,car,car,OTHER
lVMN_iO62Dc,sedan,65.0,0.4446046054363251,car,/m/021mp2,/m/0k4j,OTHER,,sedan,sedan,OTHER,,,,car,car,car,car,OTHER
lVMN_iO62Dc,sedan,66.0,0.4840922951698303,car,/m/021mp2,/m/0k4j,OTHER,,sedan,sedan,OTHER,,,,car,car,car,car,OTHER
lVMN_iO62Dc,personal luxury car,61.0,0.5732299089431763,car,/m/01w71f,/m/0k4j,OTHER,,personal luxury car,personal luxury car,OTHER,,http://dbpedia.org/ontology/MeanOfTransportation,,car,car,car,car,OTHER
lVMN_iO62Dc,subcompact car,63.0,0.40031081438064575,car,/m/03txxp,/m/0k4j,OTHER,,subcompact car,subcompact car,OTHER,,,,car,car,car,car,OTHER
lVMN_iO62Dc,toyota,62.0,0.4488012492656708,car,/m/0h5y1j0,/m/0k4j,OTHER,LOCATION,toyota,toyota,"PERSON, ORGANIZATION",,"http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent, http://dbpedia.org/ontology/Company, http://dbpedia.org/ontology/Agent, http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#SocialPerson, http://dbpedia.org/ontology/Organisation",,car,car,car,car,OTHER
lVMN_iO62Dc,toyota,63.0,0.4002694189548493,car,/m/0h5y1j0,/m/0k4j,OTHER,LOCATION,toyota,toyota,"PERSON, ORGANIZATION",,"http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent, http://dbpedia.org/ontology/Company, http://dbpedia.org/ontology/Agent, http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#SocialPerson, http://dbpedia.org/ontology/Organisation",,car,car,car,car,OTHER
lVMN_iO62Dc,toyota,64.0,0.4004127979278565,car,/m/0h5y1j0,/m/0k4j,OTHER,LOCATION,toyota,toyota,"PERSON, ORGANIZATION",,"http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent, http://dbpedia.org/ontology/Company, http://dbpedia.org/ontology/Agent, http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#SocialPerson, http://dbpedia.org/ontology/Organisation",,car,car,car,car,OTHER
