storageLink,entity,entity_type,mid,wikipedia_url,entity_mention,begin_offset,mention_sentiment_magnitude,mention_sentiment_score,mention_type,entity_salience,entity_sentiment_magnitude,entity_sentiment_score,WordNet Type Type,WordNet Type,entity_lemma,entity_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,type_v1,type_v2,type_v3
zSsnGkNRAlE,Dan Patrick,PERSON,/m/028gf8,https://en.wikipedia.org/wiki/Dan_Patrick,Dan Patrick,105,0.10000000149011612,-0.10000000149011612,PROPER,0.18960516154766088,0.8000000119209291,-0.20000000298023224,OTHER,,Dan Patrick,dan patrick,OTHER,"PERSON, EVENT",,"Thing, Event, Person",PERSON,PERSON,PERSON
zSsnGkNRAlE,work,OTHER,none,none,work,86,0.10000000149011612,0.10000000149011612,COMMON,0.06299399584531784,0.10000000149011612,0.10000000149011612,OTHER,,work,work,OTHER,OTHER,,OTHER,OTHER,OTHER,OTHER
zSsnGkNRAlE,rehab,OTHER,none,none,rehab,43,0.0,0.0,COMMON,0.05065922811627388,0.0,0.0,OTHER,,rehab,rehab,OTHER,OTHER,,Thing,OTHER,OTHER,OTHER
zSsnGkNRAlE,fact,OTHER,none,none,fact,165,0.0,0.0,COMMON,0.024493524804711345,0.0,0.0,OTHER,,fact,fact,PERSON,OTHER,http://dbpedia.org/ontology/Person,"MusicGroup, Thing",OTHER,OTHER,OTHER
zSsnGkNRAlE,radio show,WORK_OF_ART,none,none,radio show,117,0.20000000298023224,-0.20000000298023224,COMMON,0.024493524804711345,0.20000000298023224,-0.20000000298023224,OTHER,,radio show,radio show,OTHER,OTHER,,"Thing, MusicRecording",WORK_OF_ART,WORK_OF_ART,EVENT
zSsnGkNRAlE,studio,LOCATION,none,none,studio,200,0.0,0.0,COMMON,0.02366708219051361,0.0,0.0,OTHER,,studio,studio,PERSON,ORGANIZATION,http://dbpedia.org/ontology/Person,"Thing, Organization",LOCATION,LOCATION,LOCATION
zSsnGkNRAlE,Hiatus,EVENT,none,none,Hiatus,611,0.4000000059604645,-0.4000000059604645,COMMON,0.03860050439834595,0.5,-0.20000000298023224,OTHER,EVENT,Hiatus,hiatus,OTHER,PERSON,,"MusicGroup, Thing, Person",EVENT,EVENT,EVENT
zSsnGkNRAlE,Nobody,PERSON,none,none,Nobody,691,0.10000000149011612,-0.10000000149011612,COMMON,0.01001718919724226,0.10000000149011612,-0.10000000149011612,OTHER,PERSON,Nobody,nobody,OTHER,OTHER,,"MusicGroup, Thing",PERSON,PERSON,PERSON
zSsnGkNRAlE,Nobody,PERSON,none,none,Nobody,730,0.10000000149011612,-0.10000000149011612,COMMON,0.009174713864922523,0.10000000149011612,-0.10000000149011612,OTHER,PERSON,Nobody,nobody,OTHER,OTHER,,"MusicGroup, Thing",PERSON,PERSON,PERSON
zSsnGkNRAlE,No one,PERSON,none,none,No one,597,0.5,-0.5,COMMON,0.0063163149170577535,0.5,-0.5,OTHER,,No one,no one,OTHER,OTHER,,"Thing, Movie",PERSON,PERSON,PERSON
zSsnGkNRAlE,Two and a Half Men,WORK_OF_ART,/m/01vnbh,https://en.wikipedia.org/wiki/Two_and_a_Half_Men,Two and a Half Men,785,0.0,0.0,PROPER,0.006262917537242174,0.4000000059604645,0.10000000149011612,OTHER,,Two and a Half Men,two and a half man,OTHER,OTHER,,"BroadcastChannel, Thing, TVSeries",WORK_OF_ART,WORK_OF_ART,EVENT
zSsnGkNRAlE,star,PERSON,none,none,star,777,0.10000000149011612,-0.10000000149011612,COMMON,0.004821133799850941,0.10000000149011612,-0.10000000149011612,OTHER,PERSON,star,star,OTHER,OTHER,http://dbpedia.org/ontology/ArtificialSatellite,OTHER,PERSON,PERSON,PERSON
zSsnGkNRAlE,Charlie Sheen,PERSON,/m/01pllx,https://en.wikipedia.org/wiki/Charlie_Sheen,Sheen,1264,0.0,0.0,PROPER,0.4447255730628967,0.30000001192092896,0.0,OTHER,,Charlie Sheen,charlie sheen,OTHER,PERSON,,"Thing, MusicRecording, Person",PERSON,PERSON,PERSON
zSsnGkNRAlE,Hiatus,EVENT,none,none,Hiatus,1280,0.0,0.0,PROPER,0.03860050439834595,0.5,-0.20000000298023224,OTHER,EVENT,Hiatus,hiatus,OTHER,PERSON,,"MusicGroup, Thing, Person",EVENT,EVENT,EVENT
zSsnGkNRAlE,sitcom,OTHER,none,none,sitcom,1270,0.0,0.0,COMMON,0.0029804266523569822,0.0,0.0,OTHER,,sitcom,sitcom,OTHER,OTHER,http://dbpedia.org/ontology/MusicGenre,"Thing, MusicRecording, Movie",OTHER,OTHER,OTHER
zSsnGkNRAlE,hospital,LOCATION,none,none,hospital,1354,0.10000000149011612,-0.10000000149011612,COMMON,0.002979042939841748,0.10000000149011612,-0.10000000149011612,OTHER,ORGANIZATION,hospital,hospital,OTHER,LOCATION,http://dbpedia.org/ontology/University,"Thing, Place",LOCATION,LOCATION,LOCATION
zSsnGkNRAlE,CBS,ORGANIZATION,/m/09d5h,https://en.wikipedia.org/wiki/CBS,CBS,1256,0.0,0.0,PROPER,0.002066926099359989,0.0,0.0,ORGANIZATION,,CBS,cbs,OTHER,ORGANIZATION,,"Corporation, Thing, Organization",ORGANIZATION,ORGANIZATION,ORGANIZATION
